"country_code","actor1","avg_goldstein","actor2"
"ABW",3,-0.666666667,14
"AFG",1193,0.010645432,1147
"AFR",211,1.020379147,214
"AGO",4,-1.5,0
"AIA",1,0,0
"ALB",87,1.065517241,57
"ARE",57,2.90877193,36
"ARG",19,-1.463157895,18
"ARM",1843,1.794574064,1694
"ASA",18,2.911111111,5
"ATG",9,-1.688888889,2
"AUS",166,-0.935542169,117
"AUT",71,1.276056338,49
"AZE",1550,2.218580645,1355
"BDI",16,6.8625,13
"BEL",245,2.387346939,225
"BEN",3,-2.866666667,1
"BFA",6,0.25,5
"BGD",42,0.169047619,27
"BGR",234,1.834615385,166
"BHR",65,-0.255384615,31
"BHS",19,1.636842105,19
"BLR",186,1.214516129,171
"BLZ",6,3.433333333,5
"BMU",13,0.4,6
"BOL",4,1.75,5
"BRA",66,1.928787879,56
"BRB",8,-0.5125,6
"BRN",9,2.833333333,13
"BWA",4,3.2,1
"CAF",4,1.325,6
"CAN",256,0.67734375,160
"CAS",6,2.7,9
"CHE",430,2.664651163,378
"CHL",10,-0.52,12
"CHN",915,1.445136612,716
"CIV",11,2.618181818,4
"CMR",2,2.8,2
"COD",47,2.031914894,42
"COG",26,2.857692308,25
"COL",31,1.448387097,25
"COM",1,4,0
"CRI",3,5.2,1
"CUB",34,1.861764706,39
"CYM",1,7,3
"CYP",120,0.804166667,123
"CZE",212,1,171
"DEU",534,1.74494382,416
"DJI",4,-1.525,5
"DMA",1,7.4,0
"DNK",119,1.266386555,105
"DOM",3,3.733333333,0
"DZA",38,1.015789474,44
"EAF",2,1.5,0
"ECU",8,2.75,7
"EGY",322,1.617701863,263
"ERI",5,3.44,2
"ESP",125,0.104,78
"EST",70,2.565714286,54
"ETH",80,1.7525,72
"EUR",1941,2.133539413,1447
"FIN",32,1.53125,28
"FJI",7,3.128571429,14
"FRA",569,1.03427065,432
"FSM",116,1.190517241,80
"GBR",548,1.389963504,437
"GEO",1792,1.669977679,1427
"GHA",6,2.05,15
"GIN",9,-0.244444444,4
"GNB",3,5.933333333,3
"GRC",539,0.295732839,362
"GRD",52,0.380769231,34
"GTM",19,4.673684211,23
"GUY",15,0.993333333,22
"HND",2,0.95,3
"HRV",61,2.642622951,52
"HTI",6,-0.016666667,4
"HUN",81,2.950617284,69
"IDN",47,3.153191489,55
"IND",144,-2.277083333,79
"IRL",136,-0.446323529,54
"IRN",1261,0.859397304,1066
"IRQ",338,-0.278698225,286
"ISR",855,-0.529590643,808
"ITA",346,1.615606936,282
"JAM",58,0.481034483,39
"JOR",176,1.441477273,119
"JPN",245,1.680816327,236
"KAZ",204,2.074019608,172
"KEN",201,0.177114428,151
"KGZ",100,1.513,87
"KHM",20,2.485,30
"KNA",10,4.58,3
"KOR",275,0.930545455,211
"KWT",29,1.479310345,21
"LAO",3,4.8,3
"LBN",239,-0.934309623,260
"LBY",122,-0.156557377,95
"LCA",16,0.73125,15
"LIE",2,5.5,1
"LKA",18,0.127777778,15
"LSO",1,8.3,0
"LTU",124,2.04516129,114
"LUX",2,5.25,3
"LVA",97,1.351546392,64
"MAR",14,-3.528571429,4
"MCO",35,-0.78,43
"MDA",62,2.891935484,64
"MDG",1,3,0
"MDV",89,-3.493258427,109
"MEA",33,3.090909091,29
"MEX",69,1.026086957,59
"MHL",1,0,2
"MKD",57,1.584210526,35
"MLI",47,0.625531915,63
"MLT",6,-0.866666667,7
"MMR",35,3.388571429,40
"MNG",20,3.74,18
"MOZ",16,6.18125,18
"MRT",11,1.054545455,12
"MWI",3,6.1,2
"MYS",54,0.344444444,52
"NAM",2,3.2,2
"NER",9,-3.144444444,7
"NGA",115,-0.033913043,94
"NIC",21,0.776190476,12
"NLD",101,2.168316832,85
"NMR",51,2.860784314,35
"NOR",102,-0.261764706,82
"NPL",12,-2.391666667,6
"NRU",4,4.7,0
"NZL",43,0.720930233,25
"OMN",1,3.4,9
"PAK",652,0.05904908,506
"PAN",21,1.857142857,10
"PER",18,2.516666667,13
"PGS",12,0.75,8
"PHL",64,0.7296875,54
"POL",232,2.038362069,181
"PRK",210,1.093809524,205
"PRT",27,1.307407407,21
"PSE",350,0.099142857,380
"QAT",154,2.694805195,167
"RUS",6015,0.551604323,4580
"RWA",63,0.912698413,51
"SAF",3,-0.333333333,3
"SAS",7,-0.414285714,2
"SAU",112,1.266071429,124
"SDN",207,1.053140097,148
"SEA",8,2.5,5
"SEN",6,-1.266666667,5
"SGP",15,2.073333333,12
"SLE",1,-9.5,2
"SLV",6,-5.6,1
"SOM",328,0.633536585,321
"SRB",105,2.022857143,100
"SUR",6,2.466666667,1
"SVK",26,2.115384615,25
"SWE",64,1.5671875,94
"SWZ",3,2.866666667,3
"SYC",20,2.59,24
"SYR",623,-1.217817014,618
"TCD",29,-0.006896552,30
"TGO",3,5.133333333,1
"THA",103,-0.123300971,86
"TJK",203,2.472413793,200
"TKM",127,2.923622047,109
"TON",1,2.8,0
"TTO",11,-2.118181818,8
"TUN",78,1.366666667,46
"TUR",1282,1.576365055,1104
"TUV",23,4.347826087,36
"TZA",26,2.430769231,19
"UGA",67,1.562686567,44
"UKR",657,1.610958904,529
"URY",1,1,1
"USA",25443,0.494953425,17405
"UZB",60,0.848333333,54
"VAT",22,2.140909091,18
"VCT",5,2.44,3
"VEN",60,0.43,59
"VNM",45,1.324444444,34
"VUT",21,1.695238095,13
"WSM",2,5.2,1
"WST",865,2.028901734,685
"YEM",99,-1.136363636,64
"ZAF",50,1.35,38
"ZMB",17,0.494117647,9
"ZWE",58,-0.420689655,57
"KIR",0,0,3
"LBR",0,0,5
"MUS",0,0,3
"SLB",0,0,2
"SMR",0,0,1
"WAF",0,0,1
